iter	RMSE
134	1.860909762
135	1.860676887
136	1.860627571
137	1.860600048
138	1.86039154
139	1.860161016
140	1.859942627
141	1.859721497
142	1.859599284
143	1.859372469
144	1.859061227
145	1.859013174
146	1.858709313
147	1.858532165
148	1.858202669
149	1.858175471
150	1.8580944
151	1.857909301
152	1.857468206
153	1.857274828
154	1.857185415
155	1.857075133
156	1.85683904
157	1.856673954
158	1.856611291
159	1.856420597
160	1.85630204
161	1.856259604
162	1.856164738
163	1.856012326
164	1.855996522
165	1.855929057
166	1.85582352
167	1.855719638
168	1.855621098
169	1.855559782
170	1.855543767
171	1.855501736
172	1.855368657
173	1.855025966
174	1.854909969
175	1.854862358
176	1.854721217
177	1.854520563
178	1.854227645
179	1.853894523
180	1.853395566
181	1.853192365
182	1.852864443
183	1.852829904
184	1.852704054
185	1.852508048
186	1.852173018
187	1.851983515
188	1.851857402
189	1.851750239
190	1.85141539
191	1.851289085
192	1.85099799
193	1.850985044
194	1.850884773
195	1.850435861
196	1.850213869
197	1.850113989
198	1.850082862
199	1.849929451
200	1.849767517
201	1.849616161
202	1.849370512
203	1.849117314
204	1.848912284
205	1.848648975
206	1.848465382
207	1.848327494
208	1.848125281
209	1.848069829
210	1.84784518
211	1.84772007
212	1.847593681
213	1.847180784
214	1.847113671
215	1.847002203
216	1.846905248
217	1.846835107
218	1.846740175
219	1.846420473
220	1.846310207
221	1.846220134
222	1.846118231
223	1.84605458
224	1.845814356
225	1.845708842
226	1.84554862
227	1.845370567
228	1.845326827
229	1.845214728
230	1.845201637
231	1.845081218
232	1.844949906
233	1.844900812
234	1.844832237
235	1.844757528
236	1.844606182
237	1.844559262
238	1.844488343
239	1.844459085
240	1.844422856
241	1.844328759
242	1.844285384
243	1.843882694
244	1.843784608
245	1.843691588
246	1.843634722
247	1.843589155
248	1.843409784
249	1.843285334
250	1.843161621
251	1.843073454
252	1.842962729
253	1.842880277
254	1.842764534
255	1.842722865
256	1.842583701
257	1.842486833
258	1.842267353
259	1.842203559
260	1.84217895
261	1.842019296
262	1.841711107
263	1.841677005
264	1.841643812
265	1.841610519
266	1.84153687
267	1.841503867
268	1.841474403
269	1.841298986
270	1.840852916
271	1.840672444
272	1.840544463
273	1.840492799
274	1.840314748
275	1.840189909
276	1.840035157
277	1.839950365
278	1.839659905
279	1.839535821
280	1.839346746
281	1.83889673
282	1.83876396
283	1.838734194
284	1.838677426
285	1.838564984
286	1.838449251
287	1.837752954
288	1.837719956
289	1.837522991
290	1.837447799
291	1.837418714
292	1.837275052
293	1.837259148
294	1.837233042
295	1.837219574
296	1.837200725
297	1.837024459
298	1.837002347
299	1.836958024
300	1.836926846
301	1.83688005
302	1.836824782
303	1.836796302
304	1.836639654
305	1.836315186
306	1.836291458
307	1.836026506
308	1.83581638
309	1.835796175
310	1.835723445
311	1.835697568
312	1.835674329
313	1.835579999
314	1.83540112
315	1.835165763
316	1.8351174
317	1.835030123
318	1.834927766
319	1.83490622
320	1.834871683
321	1.834672058
322	1.834663688
323	1.834368153
324	1.834157298
325	1.834040081
326	1.83394707
327	1.833926618
328	1.833702705
329	1.833679037
330	1.833659259
331	1.833629498
332	1.833525511
333	1.833509586
334	1.833368357
335	1.833017789
336	1.832999577
337	1.83269608
338	1.832606365
339	1.832575258
340	1.832542078
341	1.832501992
342	1.832482531
343	1.832400136
344	1.832385789
345	1.832324062
346	1.832307099
347	1.8321903
348	1.832081591
349	1.832061405
350	1.831942877
351	1.831846771
352	1.831824944
353	1.831801192
354	1.831653005
355	1.831551931
356	1.831480773
357	1.83146485
358	1.831319094
359	1.831233441
360	1.831110462
361	1.831017436
362	1.830631376
363	1.830505853
364	1.830304528
365	1.830111763
366	1.83004852
367	1.82981877
368	1.829784171
369	1.829754533
370	1.829717509
371	1.829600051
372	1.829353658
373	1.829295083
374	1.829211961
375	1.829155232
376	1.828859945
377	1.82863574
378	1.828601438
379	1.828413823
380	1.828121805
381	1.828076246
382	1.82802137
383	1.827950308
384	1.827851389
385	1.827790354
386	1.827772089
387	1.827691736
388	1.827621575
389	1.827580576
390	1.827463278
391	1.827449996
392	1.827109813
393	1.826907181
394	1.826608763
395	1.826576335
396	1.826415294
397	1.826306975
398	1.826248403
399	1.826170446
400	1.82607429
401	1.825980612
402	1.825931332
403	1.825819799
404	1.8257528
405	1.825645487
406	1.825562404
407	1.825464922
408	1.82539953
409	1.82527779
410	1.825221781
411	1.825168769
412	1.825103814
413	1.824642529
414	1.824480626
415	1.824284989
416	1.824224933
417	1.824128333
418	1.824073238
419	1.824014507
420	1.82362122
421	1.823321101
422	1.823186606
423	1.822962333
424	1.822901127
425	1.822730777
426	1.822680694
427	1.822481531
428	1.822403197
429	1.822304934
430	1.822191502
431	1.822141615
432	1.822093296
433	1.822001539
434	1.821962649
435	1.821867282
436	1.821783569
437	1.821735508
438	1.821689644
439	1.821624995
440	1.821428015
441	1.821316931
442	1.821152996
443	1.820753001
444	1.820635893
445	1.820555264
446	1.820476329
447	1.820376459
448	1.820159801
449	1.819953484
450	1.819781742
451	1.819679752
452	1.819533088
453	1.819372962
454	1.819333932
455	1.819187898
456	1.819126342
457	1.818912115
458	1.818838127
459	1.818777026
460	1.81873262
461	1.818673657
462	1.818598892
463	1.818557942
464	1.818514034
465	1.81831956
466	1.818206288
467	1.818180823
468	1.817956851
469	1.817841186
470	1.817736578
471	1.81736714
472	1.817190714
473	1.817148873
474	1.816996532
475	1.816828863
476	1.816670158
477	1.816475315
478	1.815878038
479	1.815745275
480	1.815532727
481	1.815409712
482	1.815330864
483	1.815283081
484	1.815164888
485	1.814976503
486	1.814925729
487	1.814729135
488	1.814498293
489	1.81444441
490	1.814235442
491	1.814194879
492	1.814120893
493	1.813787835
494	1.813725377
495	1.813555755
496	1.813529245
497	1.813359886
498	1.813317958
499	1.813202523
500	1.813049602
501	1.812952842
502	1.812857238
503	1.812791736
504	1.812717858
505	1.812581317
506	1.812525803
507	1.812469082
508	1.812444128
509	1.812361926
510	1.812283965
511	1.812135053
512	1.811828044
513	1.811284419
514	1.810812872
515	1.81053161
516	1.810436208
517	1.810277731
518	1.810221044
519	1.810142484
520	1.810002531
521	1.80993525
522	1.809849066
523	1.809722163
524	1.809667315
525	1.809398942
526	1.80931168
527	1.809232446
528	1.809176675
529	1.809148943
530	1.809090233
531	1.808876151
532	1.808766277
533	1.808713481
534	1.808545914
535	1.808504477
536	1.808375187
537	1.808263262
538	1.808179074
539	1.808088613
540	1.808017829
541	1.807977981
542	1.807929602
543	1.807811019
544	1.807710361
545	1.807621558
546	1.80749684
547	1.807082848
548	1.806594291
549	1.806453661
550	1.806375151
551	1.806221918
552	1.806171834
553	1.806151188
554	1.805840319
555	1.805795328
556	1.805665391
557	1.805585412
558	1.805386949
559	1.805265173
560	1.805085317
561	1.805045464
562	1.804200708
563	1.804121422
564	1.803968096
565	1.803898993
566	1.803850365
567	1.803795134
568	1.803748537
569	1.803608724
570	1.803490754
571	1.803418253
572	1.803334809
573	1.80314285
574	1.802981809
575	1.80285215
576	1.802766692
577	1.802619184
578	1.802515487
579	1.802471746
580	1.80236309
581	1.80232303
582	1.802217576
583	1.802163783
584	1.802065295
585	1.801904055
586	1.801847813
587	1.801799243
588	1.801750779
589	1.801627086
590	1.801202948
591	1.801056188
592	1.801002705
593	1.800914193
594	1.800837527
595	1.800678286
596	1.800646933
597	1.800622544
598	1.800582897
599	1.800504358
600	1.800363634
601	1.800062195
602	1.800035847
603	1.799999221
604	1.799984891
605	1.799935434
606	1.799676538
607	1.799627313
608	1.799501865
609	1.799477653
610	1.799423613
611	1.799357544
612	1.799208942
613	1.799178773
614	1.799139592
615	1.79909055
616	1.799002589
617	1.798897234
618	1.79881071
619	1.798773808
620	1.798739992
621	1.798379605
622	1.798273381
623	1.798262718
624	1.798053087
625	1.798008118
626	1.797843184
627	1.797699346
628	1.797622415
629	1.797528207
630	1.797454098
631	1.797343137
632	1.797226724
633	1.797150622
634	1.797109697
635	1.79704368
636	1.796950492
637	1.796846647
638	1.796805668
639	1.796547297
640	1.796525586
641	1.79651006
642	1.796426404
643	1.796337187
644	1.796305531
645	1.796153423
646	1.796001446
647	1.795978964
648	1.79584893
649	1.795667227
650	1.795581518
651	1.795441222
652	1.795329789
653	1.79530787
654	1.795238347
655	1.795197435
656	1.795168904
657	1.795087887
658	1.795026108
659	1.794952935
660	1.794845859
661	1.794784799
662	1.794682861
663	1.79457366
664	1.794558218
665	1.794534076
666	1.79439457
667	1.79433118
668	1.794236477
669	1.794083928
670	1.794032287
671	1.793731004
672	1.793709318
673	1.793687097
674	1.793633439
675	1.793397582
676	1.793361986
677	1.793300613
678	1.793153811
679	1.793045869
680	1.792932645
681	1.792902649
682	1.792889656
683	1.792848654
684	1.792635905
685	1.79259372
686	1.792571777
687	1.792563447
688	1.792534438
689	1.792421043
690	1.792286893
691	1.79224102
692	1.792140489
693	1.792025019
694	1.79195377
695	1.791872417
696	1.791696278
697	1.791646239
698	1.791596455
699	1.791561395
700	1.791425783
701	1.791099599
702	1.791057245
703	1.790990598
704	1.790875038
705	1.790848567
706	1.790747753
707	1.790598507
708	1.790557095
709	1.790462764
710	1.790448391
711	1.790370708
712	1.79035102
713	1.790145315
714	1.790103756
715	1.790067837
716	1.790047324
717	1.789972079
718	1.789948514
719	1.789584358
720	1.789462479
721	1.789391793
722	1.789304636
723	1.789236069
724	1.789128311
725	1.789091463
726	1.788983172
727	1.788951778
728	1.788912108
729	1.788819508
730	1.78861732
731	1.788591111
732	1.788547287
733	1.788446609
734	1.788410332
735	1.788377375
736	1.78832417
737	1.788296242
738	1.788275889
739	1.787743234
740	1.787735528
741	1.787642229
742	1.787516381
743	1.787474794
744	1.787412446
745	1.787199601
746	1.787144487
747	1.787044885
748	1.787022733
749	1.786955974
750	1.786934162
751	1.786899058
752	1.786812974
753	1.786503683
754	1.786480632
755	1.786353253
756	1.786314264
757	1.786239166
758	1.786234126
759	1.786202818
760	1.786195462
761	1.786151606
762	1.78610353
763	1.786057342
764	1.786014138
765	1.785932129
766	1.785913109
767	1.785788061
768	1.785693916
769	1.78567773
770	1.785572653
771	1.785549297
772	1.785448528
773	1.78529994
774	1.785272079
775	1.785220158
776	1.785195017
777	1.785181395
778	1.785147147
779	1.785135444
780	1.785038134
781	1.78499017
782	1.784804273
783	1.784749185
784	1.784686731
785	1.78459498
786	1.78431533
787	1.784110459
788	1.783895353
789	1.783817012
790	1.78376118
791	1.783677621
792	1.783622439
793	1.783585894
794	1.783540908
795	1.783472242
796	1.783461153
797	1.783453955
798	1.783386185
799	1.783358024
800	1.783253954
801	1.783198709
802	1.783166882
803	1.78308597
804	1.782970202
805	1.782921415
806	1.78281709
807	1.782690877
808	1.782647991
809	1.78235896
810	1.782256218
811	1.782217232
812	1.782120792
813	1.782020375
814	1.781970479
815	1.781943282
816	1.781827759
817	1.781728213
818	1.781683942
819	1.781602346
820	1.781451045
821	1.781274218
822	1.781243089
823	1.78122154
824	1.781182093
825	1.781134059
826	1.781089004
827	1.781074416
828	1.780925175
829	1.780888591
830	1.780803173
831	1.780731346
832	1.78062477
833	1.780544658
834	1.780462631
835	1.780425192
836	1.780399148
837	1.78035453
838	1.780306027
839	1.780259515
840	1.78014826
841	1.780118556
842	1.780056163
843	1.780030848
844	1.779957639
845	1.77990732
846	1.779871829
847	1.779839368
848	1.779788978
849	1.779704082
850	1.779668068
851	1.779486669
852	1.779194006
853	1.779178954
854	1.77915364
855	1.779127232
856	1.779088729
857	1.779067178
858	1.779027238
859	1.778958392
860	1.778792872
861	1.778744105
862	1.778703921
863	1.778494309
864	1.778487879
865	1.778403418
866	1.778320906
867	1.77828378
868	1.778244183
869	1.778229015
870	1.778151571
871	1.778119081
872	1.777990286
873	1.777819112
874	1.777799813
875	1.777728086
876	1.777690021
877	1.77767232
878	1.777517548
879	1.777393297
880	1.777319763
881	1.777268143
882	1.777151096
883	1.777137445
884	1.777123157
885	1.777092697
886	1.777080289
887	1.777007697
888	1.77694895
889	1.776876025
890	1.776781934
891	1.776525055
892	1.776414458
893	1.776403426
894	1.7763711
895	1.77631126
896	1.776248594
897	1.776201569
898	1.776179814
899	1.776169724
900	1.776116401
901	1.776099373
902	1.77598628
903	1.775946244
904	1.775812174
905	1.775707114
906	1.775657194
907	1.775478807
908	1.775449463
909	1.775410661
910	1.775312074
911	1.775291783
912	1.775276809
913	1.775248845
914	1.775129143
915	1.775095423
916	1.775034055
917	1.774989088
918	1.774964316
919	1.774923968
920	1.774900531
921	1.774650176
922	1.774360415
923	1.774332011
924	1.774233234
925	1.774176077
926	1.774125903
927	1.774092459
928	1.77399928
929	1.773972331
930	1.773912068
931	1.773853504
932	1.773824768
933	1.773785433
934	1.773776425
935	1.773716672
936	1.773701954
937	1.773434528
938	1.77336223
939	1.773258332
940	1.773247132
941	1.773105522
942	1.772978748
943	1.772939768
944	1.772806951
945	1.772727721
946	1.772688814
947	1.772625913
948	1.772597281
949	1.772509214
950	1.772458539
951	1.772426086
952	1.772417465
953	1.772387194
954	1.772251659
955	1.772221508
956	1.772136765
957	1.772115038
958	1.772109319
959	1.772057627
960	1.771954817
961	1.771945948
962	1.771909492
963	1.771765806
964	1.771745241
965	1.77159465
966	1.771577194
967	1.771504786
968	1.771471551
969	1.771402228
970	1.771372928
971	1.771353057
972	1.77123748
973	1.771219394
974	1.771135777
975	1.771055236
976	1.770942209
977	1.770912977
978	1.770821078
979	1.770731651
980	1.770728248
981	1.770674522
982	1.770646878
983	1.770520698
984	1.770480283
985	1.770446631
986	1.770373448
987	1.770369163
988	1.770305361
989	1.770287677
990	1.770263428
991	1.770168106
992	1.770115207
993	1.770075612
994	1.770008285
995	1.76985754
996	1.76982838
997	1.769807678
998	1.769783204
999	1.769720602
