iter	Logloss
0	0.6679603615
1	0.6480030452
2	0.624930326
3	0.6087275564
4	0.5907320279
5	0.5747995746
6	0.5586939797
7	0.5501159571
8	0.5425873891
9	0.5323480373
10	0.5223057041
11	0.5136447074
12	0.5058375683
13	0.4967284057
14	0.4932893497
15	0.4853044163
16	0.4729349065
17	0.4660383477
18	0.4606174574
19	0.4565823998
20	0.4527192708
21	0.4446946936
22	0.4377479521
23	0.431612638
24	0.4254974377
25	0.4215669396
26	0.4192671143
27	0.4119051961
28	0.4100576868
29	0.4080861067
30	0.4065513028
31	0.4042698462
32	0.4029852531
33	0.401706532
34	0.4010341415
35	0.3993081744
36	0.3977153423
37	0.3962277893
38	0.3952335843
39	0.3900437185
40	0.3876654354
41	0.3858545433
42	0.382378785
43	0.3788058929
44	0.378792951
45	0.3761257031
46	0.3731338113
47	0.3728412525
48	0.3701174773
49	0.3675707057
50	0.3671622797
51	0.3666464959
52	0.3660099251
53	0.3636546599
54	0.3609000734
55	0.3595090775
56	0.3581311994
57	0.357729946
58	0.3576022061
59	0.3568856643
60	0.3565172589
61	0.3528228045
62	0.3518574823
63	0.3515783337
64	0.3504803151
65	0.3503182569
66	0.3486035237
67	0.3479209095
68	0.3458700328
69	0.3445977827
70	0.3420323676
71	0.3393455212
72	0.3389774485
73	0.338563061
74	0.338561091
75	0.3363515173
76	0.3352476752
77	0.3343006809
78	0.3334690245
79	0.3334420069
80	0.3315345693
81	0.3306688676
82	0.3294898812
83	0.3271315254
84	0.3261942064
85	0.325854305
86	0.3254529434
87	0.3251122219
88	0.3238385642
89	0.3238382678
90	0.3238047112
91	0.3233066173
92	0.3232290909
93	0.3227823739
94	0.3219295261
95	0.3219055469
96	0.3219055188
97	0.3218832055
98	0.3213816494
99	0.321381633
100	0.3212279025
101	0.3212003695
102	0.3211520673
103	0.3207874035
104	0.3194002524
105	0.319299345
106	0.3189928915
107	0.31879524
108	0.3185646722
109	0.3178623979
110	0.3173113652
111	0.317085612
112	0.3166121932
113	0.3166093716
114	0.3165910185
115	0.3155920662
116	0.3151958585
117	0.3148374459
118	0.3148216962
119	0.3147240693
120	0.3139376861
121	0.3139376861
122	0.3136592429
123	0.3136592416
124	0.3136592401
125	0.3129866547
126	0.3107616361
127	0.3107434545
128	0.3101304599
129	0.3101262069
130	0.3100729038
131	0.3100529935
132	0.3094470375
133	0.3091749526
134	0.3091637975
135	0.3089699362
136	0.3084286101
137	0.3081001406
138	0.3065523025
139	0.3065472937
140	0.3063834635
141	0.3059985274
142	0.305771494
143	0.3041654388
144	0.3033035118
145	0.3030649568
146	0.3024315986
147	0.3016251712
148	0.3012851956
149	0.3010305415
150	0.3008839911
151	0.3006634763
152	0.3005150441
153	0.2983885412
154	0.298018525
155	0.2973234939
156	0.2968010291
157	0.2961387958
158	0.2960206457
159	0.295977315
160	0.2953927946
161	0.2949865416
162	0.2943413576
163	0.2942736345
164	0.2941525451
165	0.2941351758
166	0.2937702417
167	0.2927789986
168	0.290903584
169	0.2905426955
170	0.2895848197
171	0.2895673097
172	0.2895670836
173	0.2887829662
174	0.2881833741
175	0.2881546179
176	0.2874740649
177	0.2870694848
178	0.2864977174
179	0.2860874685
180	0.2860052647
181	0.2852470899
182	0.2852200958
183	0.283851329
184	0.283738741
185	0.283583095
186	0.2828609796
187	0.2825922597
188	0.2822594015
189	0.2821582766
190	0.2816091161
191	0.2812256171
192	0.2811750478
193	0.2806264592
194	0.2798457492
195	0.279020621
196	0.2787168342
197	0.2785605041
198	0.278168013
199	0.2778895095
200	0.2778032173
201	0.2768289719
202	0.2765822551
203	0.2762080837
204	0.2761317424
205	0.2760144212
206	0.2751571956
207	0.2748989458
208	0.2747813574
209	0.2744453393
210	0.2743731731
211	0.2743110186
212	0.2741398828
213	0.273988975
214	0.2738911234
215	0.2738105723
216	0.2735224151
217	0.273403358
218	0.2732879302
219	0.2732742638
220	0.2730873281
221	0.2729244812
222	0.2723386649
223	0.2719758146
224	0.2718071039
225	0.2715939161
226	0.2712975978
227	0.2711358079
228	0.2709787862
229	0.2707156706
230	0.2701096818
231	0.2695491374
232	0.2689979647
233	0.268867892
234	0.2687628544
235	0.2686036612
236	0.2685073729
237	0.2677865535
238	0.2675132969
239	0.2666617863
240	0.2663132802
241	0.2659923618
242	0.2655948733
243	0.2651866985
244	0.2646284521
245	0.2639103843
246	0.2637831064
247	0.2633397928
248	0.2630485333
249	0.2624242658
250	0.2624031825
251	0.2615201718
252	0.260790824
253	0.2603918907
254	0.2600454324
255	0.2597055696
256	0.2589629776
257	0.2580867417
258	0.2579049646
259	0.25772299
260	0.2574747076
261	0.2572904594
262	0.2572154889
263	0.2568051484
264	0.2567006531
265	0.2564436146
266	0.2560225633
267	0.2559701845
268	0.2559254882
269	0.2553085581
270	0.2547654613
271	0.2541481944
272	0.2534022613
273	0.2528845131
274	0.2528417353
275	0.252559923
276	0.2524083609
277	0.2519974861
278	0.2514748992
279	0.2512853288
280	0.2510930916
281	0.2509843906
282	0.2505205376
283	0.2501388061
284	0.2501076228
285	0.2499179635
286	0.2494111103
287	0.2493826483
288	0.2493020523
289	0.2492293199
290	0.2491894792
291	0.249009736
292	0.2487900457
293	0.2482764837
294	0.2477113929
295	0.2475335409
296	0.2473366859
297	0.247280281
298	0.2469043631
299	0.2465852381
300	0.2464891418
301	0.2463408249
302	0.2462753619
303	0.2457673711
304	0.2452438387
305	0.2451361939
306	0.2446017609
307	0.2444889573
308	0.2443010035
309	0.2441083495
310	0.2438903451
311	0.2438380398
312	0.2434393455
313	0.2428761921
314	0.2426039679
315	0.2423394276
316	0.242050286
317	0.2417974673
318	0.2417394132
319	0.2415773885
320	0.2412589239
321	0.2410953559
322	0.2410500489
323	0.2406268738
324	0.2405329541
325	0.2404802569
326	0.2404353542
327	0.2403045007
328	0.2400318189
329	0.2396955302
330	0.2395781041
331	0.2391916142
332	0.2390182932
333	0.2389075451
334	0.2386125906
335	0.2385167045
336	0.2384549842
337	0.2384205776
338	0.2381529587
339	0.2378957953
340	0.2370820371
341	0.2370438831
342	0.2370147838
343	0.2368622047
344	0.2368211112
345	0.2364181158
346	0.2362006459
347	0.2360300005
348	0.2359327247
349	0.2356465442
350	0.2354810013
351	0.2352024469
352	0.2350395036
353	0.2347565747
354	0.234320375
355	0.2331004536
356	0.2327116679
357	0.2323679824
358	0.2318176827
359	0.2314294688
360	0.2311362432
361	0.2309955552
362	0.2308402249
363	0.230617558
364	0.2304112261
365	0.2300858598
366	0.2299354863
367	0.2296257678
368	0.2295594321
369	0.2294207419
370	0.2290652774
371	0.2289945343
372	0.2287889849
373	0.2286728361
374	0.2285846817
375	0.2283129286
376	0.2282750379
377	0.2282283636
378	0.2281584726
379	0.227995045
380	0.2278366281
381	0.2277635174
382	0.2275843478
383	0.2275413266
384	0.2270260834
385	0.2267437154
386	0.2267018433
387	0.2266192168
388	0.2265559939
389	0.2265019341
390	0.2264435189
391	0.2263002759
392	0.2261859963
393	0.2256475558
394	0.225363337
395	0.2252667436
396	0.2250303975
397	0.2246850577
398	0.2244580312
399	0.224088796
400	0.2238813444
401	0.223754631
