iter	Passed	Remaining
0	76	61039
1	83	33274
2	91	24305
3	100	20011
4	109	17438
5	117	15587
6	131	14842
7	139	13859
8	148	13084
9	157	12414
10	165	11874
11	174	11453
12	182	11070
13	190	10708
14	195	10241
15	206	10103
16	215	9943
17	223	9729
18	234	9622
19	243	9497
20	255	9476
21	264	9354
22	272	9216
23	283	9163
24	293	9098
25	304	9057
26	313	8977
27	325	8962
28	335	8929
29	346	8884
30	357	8860
31	368	8842
32	379	8830
33	390	8805
34	398	8713
35	405	8610
36	417	8618
37	426	8551
38	435	8500
39	445	8458
40	454	8418
41	463	8358
42	473	8340
43	484	8325
44	491	8239
45	505	8281
46	515	8264
47	528	8280
48	538	8252
49	548	8228
50	558	8195
51	568	8179
52	582	8208
53	595	8224
54	605	8205
55	617	8202
56	627	8183
57	638	8167
58	645	8111
59	654	8075
60	666	8075
61	676	8056
62	689	8064
63	699	8040
64	710	8029
65	724	8051
66	740	8104
67	756	8142
68	765	8114
69	777	8108
70	789	8104
71	800	8091
72	810	8068
73	818	8032
74	824	7968
75	834	7950
76	845	7939
77	857	7934
78	869	7939
79	881	7936
80	893	7933
81	900	7889
82	910	7862
83	923	7869
84	932	7842
85	941	7817
86	950	7788
87	959	7760
88	969	7743
89	974	7685
90	978	7626
91	986	7595
92	992	7546
93	1002	7532
94	1012	7512
95	1022	7497
96	1027	7444
97	1034	7413
98	1046	7410
99	1051	7357
100	1057	7315
101	1061	7262
102	1065	7210
103	1071	7173
104	1081	7160
105	1089	7134
106	1095	7096
107	1102	7064
108	1108	7030
109	1115	6996
110	1122	6965
111	1129	6935
112	1138	6923
113	1144	6884
114	1149	6848
115	1160	6842
116	1167	6817
117	1176	6802
118	1181	6763
119	1188	6732
120	1197	6721
121	1202	6683
122	1212	6675
123	1219	6648
124	1224	6613
125	1237	6618
126	1249	6620
127	1256	6595
128	1269	6603
129	1275	6572
130	1283	6556
131	1290	6532
132	1302	6530
133	1311	6518
134	1316	6487
135	1323	6463
136	1335	6460
137	1347	6461
138	1357	6454
139	1364	6432
140	1375	6429
141	1384	6414
142	1391	6392
143	1401	6382
144	1409	6368
145	1418	6353
146	1428	6343
147	1436	6329
148	1444	6309
149	1453	6300
150	1460	6278
151	1467	6255
152	1475	6238
153	1485	6230
154	1494	6218
155	1504	6209
156	1513	6198
157	1522	6186
158	1530	6168
159	1538	6154
160	1547	6143
161	1556	6130
162	1565	6117
163	1571	6093
164	1578	6074
165	1584	6051
166	1593	6040
167	1602	6029
168	1612	6020
169	1622	6012
170	1631	6001
171	1637	5979
172	1643	5955
173	1653	5949
174	1662	5937
175	1669	5919
176	1679	5910
177	1688	5900
178	1697	5888
179	1705	5874
180	1760	6021
181	1776	6030
182	1789	6032
183	1802	6036
184	1816	6038
185	1828	6036
186	1841	6037
187	1857	6047
188	1870	6047
189	1885	6054
190	1899	6057
191	1912	6056
192	1920	6040
193	1931	6033
194	1940	6021
195	1950	6010
196	1961	6003
197	1970	5990
198	1979	5979
199	1989	5967
200	1997	5953
201	2011	5954
202	2020	5941
203	2028	5927
204	2037	5914
205	2046	5899
206	2054	5885
207	2063	5873
208	2072	5861
209	2086	5863
210	2095	5849
211	2104	5838
212	2113	5824
213	2122	5811
214	2130	5797
215	2139	5785
216	2152	5782
217	2161	5770
218	2169	5756
219	2178	5743
220	2190	5739
221	2198	5725
222	2208	5714
223	2218	5704
224	2227	5693
225	2236	5680
226	2245	5666
227	2253	5652
228	2262	5641
229	2271	5629
230	2283	5623
231	2297	5625
232	2309	5619
233	2322	5618
234	2333	5611
235	2344	5603
236	2359	5604
237	2368	5593
238	2379	5584
239	2390	5578
240	2400	5567
241	2415	5570
242	2430	5570
243	2447	5576
244	2459	5570
245	2469	5560
246	2478	5548
247	2488	5539
248	2500	5533
249	2509	5520
250	2518	5509
251	2527	5496
252	2541	5494
253	2552	5487
254	2561	5474
255	2574	5469
