iter	Logloss
0	0.674082498
1	0.6613384504
2	0.6429690942
3	0.6313706382
4	0.6194114282
5	0.6056800947
6	0.5984531655
7	0.5875925202
8	0.5757739137
9	0.5665828274
10	0.5560767368
11	0.5404073502
12	0.5276680593
13	0.5183056936
14	0.5129842069
15	0.5021021966
16	0.4920673044
17	0.4810451276
18	0.4736264716
19	0.467354526
20	0.4576618755
21	0.4490689978
22	0.4394124862
23	0.4322089945
24	0.4246146051
25	0.4200209339
26	0.4092160813
27	0.4047619904
28	0.3996885595
29	0.3961010787
30	0.3960808925
31	0.3955787371
32	0.3926813579
33	0.3919249818
34	0.3881802495
35	0.3849624075
36	0.3822886209
37	0.3807081909
38	0.3765289378
39	0.3750246311
40	0.3747379743
41	0.373347451
42	0.372230943
43	0.371401352
44	0.3700891177
45	0.3668606814
46	0.3664679703
47	0.3644356302
48	0.3609479077
49	0.3606882238
50	0.3593431018
51	0.3548891698
52	0.3530851931
53	0.3477515624
54	0.3468887659
55	0.3461015428
56	0.3454295424
57	0.3400635156
58	0.3365626921
59	0.3362285138
60	0.3336852658
61	0.333108196
62	0.3315987277
63	0.3292086962
64	0.3288591022
65	0.3286947796
66	0.3266337301
67	0.3237749024
68	0.319580567
69	0.3194808717
70	0.3181490676
71	0.3154346004
72	0.3152411596
73	0.3124246038
74	0.3122750809
75	0.3109572715
76	0.3108461867
77	0.3097901226
78	0.3096822461
79	0.3093463202
80	0.3092255515
81	0.3092201376
82	0.3078336882
83	0.3075247702
84	0.30743024
85	0.3062091625
86	0.3061430345
87	0.3057636741
88	0.3045929244
89	0.304555138
90	0.3036444544
91	0.3033002031
92	0.3030871454
93	0.3029860889
94	0.3026438958
95	0.3025897122
96	0.3020019304
97	0.301945017
98	0.3012442828
99	0.301059071
100	0.3009690493
101	0.3008486703
102	0.300761368
103	0.2995594778
104	0.2986652569
105	0.2981462382
106	0.297836102
107	0.2974952328
108	0.2973751456
109	0.2970850456
110	0.2964774974
111	0.2955666658
112	0.2946107906
113	0.2942390252
114	0.2942213182
115	0.2937769535
116	0.2931230561
117	0.2928079696
118	0.292431498
119	0.2920561674
120	0.2920560534
121	0.2920539772
122	0.291202941
123	0.2912027742
124	0.2909420288
125	0.2892029987
126	0.2870133372
127	0.2870046776
128	0.2866819358
129	0.2861846733
130	0.2841068344
131	0.2830908211
132	0.2817526685
133	0.2817485092
134	0.2813369005
135	0.2805094917
136	0.2804918079
137	0.2804280729
138	0.2801936219
139	0.2779227397
140	0.2767166613
141	0.2761844479
142	0.2755930334
143	0.2755624159
144	0.2754662218
145	0.275043589
146	0.2734429462
147	0.273310054
148	0.271364419
149	0.2707636096
150	0.2707633391
151	0.2707182907
152	0.2706930954
153	0.2702728529
154	0.2697108148
155	0.2691545861
156	0.2691309427
157	0.2689698141
158	0.2681739154
159	0.2681539584
160	0.2678131304
161	0.2677337653
162	0.2676947999
163	0.2673205045
164	0.2661743904
165	0.2661603077
166	0.2659045614
167	0.2646492579
168	0.2640955529
169	0.2636293543
170	0.2631551519
171	0.262144442
172	0.2612325241
173	0.2606888049
174	0.2604319911
175	0.258808383
176	0.2583332018
177	0.2578723028
178	0.256324083
179	0.2555635383
180	0.2549685524
181	0.2540528327
182	0.2534757878
183	0.2527678513
184	0.2521599682
185	0.2518754567
186	0.2509215849
187	0.2508580955
188	0.2506041491
189	0.2505560914
190	0.2495498348
191	0.2482844296
192	0.2480193863
193	0.2473012164
194	0.2470506071
195	0.2460506319
196	0.2455229428
197	0.2453217719
198	0.2452665377
199	0.2449183367
200	0.2447818532
201	0.2446702791
202	0.2440109537
203	0.2427990832
204	0.2422258894
205	0.24214211
206	0.2419179068
207	0.2417219839
208	0.2410209491
209	0.2395563153
210	0.2389650916
211	0.2387251533
212	0.2382953362
213	0.2381369977
214	0.2375968581
215	0.2367352687
216	0.2353768303
217	0.2346866289
218	0.2336486811
219	0.2334215708
220	0.2333936126
221	0.23328426
222	0.2328912789
223	0.2321172295
224	0.2319666176
225	0.2317742588
226	0.2312776642
227	0.2304865162
228	0.2302432671
229	0.2298165023
230	0.2296030326
231	0.229168159
232	0.229045923
233	0.2277971745
234	0.2270342001
235	0.2268180774
236	0.2262094564
237	0.226012254
238	0.2256856545
239	0.2254280703
240	0.2251445621
241	0.2248680703
242	0.2248185238
243	0.2247126108
244	0.2243312658
245	0.2235312355
246	0.2230365975
247	0.2224392852
248	0.2221783783
249	0.2219789209
250	0.2215208519
251	0.2214784853
252	0.2213782707
253	0.2212710515
254	0.2209898244
255	0.2202046686
256	0.2196550319
257	0.2195620158
258	0.2190318979
259	0.2188286521
260	0.2183419361
261	0.2180243242
262	0.217845499
263	0.2172690545
264	0.2171951603
265	0.2168512435
266	0.2167517731
267	0.2166101557
268	0.2162356375
269	0.2158816102
270	0.2157828246
271	0.2152802182
272	0.2150730232
273	0.2148857098
274	0.2144978462
275	0.2144123635
276	0.2140163087
277	0.213812175
278	0.2134393331
