iter	Logloss
0	0.6734818444
1	0.6522952816
2	0.6335131713
3	0.6143465637
4	0.5962279887
5	0.5811521949
6	0.5693053169
7	0.5567577898
8	0.5349529704
9	0.5211125604
10	0.4998924399
11	0.4887231247
12	0.4747155502
13	0.4664544417
14	0.455389719
15	0.4426632786
16	0.4351967318
17	0.4259969127
18	0.4201712474
19	0.4116534693
20	0.406441749
21	0.4014222436
22	0.39437568
23	0.3906349854
24	0.3883602496
25	0.3863405268
26	0.382132355
27	0.3804665565
28	0.3776809154
29	0.376214169
30	0.3751297498
31	0.3741451
32	0.3678228093
33	0.3614360451
34	0.3568015988
35	0.3526785185
36	0.3514645164
37	0.3500344651
38	0.3455028119
39	0.3437293407
40	0.3422987667
41	0.3413029066
42	0.3380863665
43	0.3343547452
44	0.3332737368
45	0.3316233233
46	0.3311311898
47	0.3307496432
48	0.327169836
49	0.325472062
50	0.3245869013
51	0.3230990106
52	0.3202524446
53	0.3196834454
54	0.3192326457
55	0.3176209307
56	0.3163771594
57	0.3162958841
58	0.3157350701
59	0.3152838231
60	0.3152411114
61	0.3152386822
62	0.3151243403
63	0.3144529529
64	0.3118128781
65	0.3109649664
66	0.3097994164
67	0.3094815986
68	0.3086904463
69	0.308535512
70	0.3082070482
71	0.3064306683
72	0.3052342579
73	0.3035840265
74	0.3034079012
75	0.3034070042
76	0.3031233051
77	0.3026830253
78	0.3006481874
79	0.3004711427
80	0.3000488347
81	0.2986698174
82	0.2985856383
83	0.2980673387
84	0.2979622622
85	0.2975181961
86	0.2972944803
87	0.2972943119
88	0.2958827466
89	0.2957664453
90	0.295613382
91	0.2944557669
92	0.2943153698
93	0.294030353
94	0.2938460218
95	0.2938459994
96	0.2938453119
97	0.2919395186
98	0.2911556917
99	0.2905687054
100	0.2891486391
101	0.2889544116
102	0.2874051115
103	0.2871258232
104	0.2870841798
105	0.2866811469
106	0.2865376233
107	0.2865262228
108	0.2859197917
109	0.2855307419
110	0.2853850946
111	0.2844004835
112	0.2829125794
113	0.2828030211
114	0.2827762637
115	0.2827450836
116	0.2815933477
117	0.2810518829
118	0.2798254747
119	0.2797504699
120	0.2797503733
121	0.2784376686
122	0.2772610101
