iter	Passed	Remaining
408	4324	24224
409	4335	24217
410	4345	24203
411	4356	24194
412	4367	24186
413	4376	24168
414	4388	24160
415	4402	24172
416	4415	24172
417	4430	24189
418	4445	24198
419	4461	24219
420	4470	24201
421	4480	24184
422	4489	24168
423	4498	24149
424	4506	24124
425	4516	24109
426	4525	24088
427	4533	24067
428	4542	24047
429	4552	24033
430	4561	24012
431	4569	23991
432	4579	23977
433	4588	23955
434	4598	23942
435	4606	23920
436	4619	23924
437	4632	23924
438	4642	23910
439	4658	23925
440	4668	23915
441	4677	23895
442	4686	23878
443	4697	23870
444	4707	23855
445	4717	23842
446	4727	23827
447	4736	23810
448	4747	23800
449	4757	23786
450	4767	23774
451	4776	23755
452	4785	23737
453	4795	23726
454	4804	23706
455	4814	23694
456	4824	23676
457	4834	23666
458	4844	23652
459	4854	23639
460	4865	23631
461	4874	23612
462	4883	23595
463	4895	23591
464	4904	23575
465	4917	23572
466	4926	23555
467	4937	23546
468	4946	23529
469	4956	23518
470	4966	23503
471	4992	23567
472	5001	23547
473	5009	23524
474	5019	23512
475	5030	23502
476	5041	23495
477	5052	23487
478	5063	23480
479	5075	23472
480	5086	23463
481	5095	23449
482	5112	23468
483	5125	23465
484	5134	23447
485	5145	23439
486	5159	23445
487	5168	23428
488	5180	23421
489	5192	23417
490	5202	23406
491	5212	23392
492	5221	23375
493	5231	23362
494	5239	23338
495	5249	23326
496	5258	23308
497	5267	23290
498	5275	23269
499	5283	23245
500	5291	23226
501	5299	23204
502	5308	23185
503	5316	23165
504	5324	23144
505	5332	23121
506	5340	23098
507	5347	23073
508	5355	23053
509	5363	23033
510	5370	23008
511	5379	22987
512	5391	22985
513	5405	22990
514	5418	22991
515	5431	22987
516	5445	22993
517	5457	22990
518	5469	22984
519	5477	22962
520	5484	22937
521	5497	22936
522	5519	22975
523	5535	22986
524	5551	22999
525	5566	23007
526	5576	22993
527	5587	22986
528	5597	22973
529	5608	22961
530	5617	22947
531	5628	22935
532	5637	22921
533	5646	22903
534	5657	22892
535	5667	22879
536	5677	22869
537	5687	22854
538	5696	22838
539	5707	22831
540	5719	22825
541	5728	22806
542	5736	22788
543	5744	22765
544	5754	22752
545	5761	22730
546	5772	22718
547	5781	22702
548	5790	22687
549	5802	22683
550	5811	22664
551	5821	22651
552	5836	22658
553	5845	22641
554	5854	22626
555	5867	22625
556	5876	22609
557	5886	22598
558	5895	22580
559	5908	22577
560	5918	22565
561	5928	22552
562	5940	22547
563	5950	22535
564	5960	22521
565	5987	22575
566	6002	22580
567	6011	22564
568	6023	22557
569	6033	22547
570	6044	22538
571	6054	22523
572	6064	22512
573	6074	22497
574	6083	22482
575	6093	22468
576	6106	22469
577	6116	22454
578	6125	22438
579	6135	22424
580	6145	22412
581	6156	22403
582	6166	22392
583	6180	22395
584	6195	22400
585	6211	22406
586	6224	22406
587	6235	22397
588	6250	22401
589	6264	22401
590	6278	22404
591	6292	22405
592	6303	22395
593	6313	22385
594	6324	22373
595	6337	22373
596	6347	22360
597	6356	22343
598	6366	22331
599	6375	22315
600	6384	22298
601	6400	22304
602	6414	22306
603	6426	22302
604	6439	22300
605	6453	22300
606	6468	22304
607	6477	22289
608	6487	22275
609	6496	22258
610	6504	22240
611	6514	22226
612	6523	22209
613	6532	22194
614	6543	22183
615	6555	22177
616	6563	22158
617	6573	22145
618	6582	22130
619	6593	22120
620	6607	22120
621	6620	22119
622	6632	22113
623	6647	22116
624	6662	22118
625	6677	22124
626	6690	22120
627	6702	22113
628	6716	22113
629	6725	22097
630	6737	22091
631	6750	22090
632	6761	22078
633	6771	22065
634	6784	22062
635	6795	22054
636	6806	22042
637	6817	22033
638	6827	22019
639	6836	22005
640	6849	22002
641	6858	21984
642	6867	21968
643	6875	21951
644	6884	21932
645	6892	21916
646	6901	21898
647	6911	21887
648	6920	21870
649	6929	21853
650	6943	21853
651	6951	21834
652	6958	21814
653	6966	21793
654	6974	21775
655	7006	21832
656	7016	21818
657	7025	21801
658	7034	21787
659	7045	21777
660	7055	21764
661	7064	21749
662	7074	21734
663	7083	21720
664	7091	21702
665	7109	21711
666	7120	21701
667	7131	21694
668	7141	21682
669	7156	21684
670	7166	21671
671	7175	21653
672	7182	21633
673	7193	21622
674	7203	21610
675	7213	21597
676	7224	21587
677	7234	21576
678	7245	21566
679	7257	21560
680	7267	21546
681	7276	21529
682	7285	21516
683	7294	21498
684	7304	21487
685	7314	21474
686	7326	21466
687	7335	21452
688	7345	21439
689	7356	21429
690	7365	21414
691	7376	21403
692	7387	21393
693	7396	21380
694	7411	21381
695	7428	21387
696	7442	21386
697	7458	21392
698	7474	21397
699	7488	21395
700	7498	21382
701	7510	21377
702	7522	21369
703	7536	21366
704	7547	21358
705	7559	21351
706	7571	21344
707	7582	21334
708	7590	21315
709	7601	21306
710	7613	21298
711	7624	21288
712	7634	21275
713	7643	21260
714	7652	21245
715	7661	21230
716	7673	21222
717	7685	21215
718	7695	21202
719	7704	21187
720	7716	21181
721	7729	21175
722	7738	21160
723	7748	21148
724	7761	21144
725	7771	21131
726	7783	21122
727	7794	21112
728	7805	21104
729	7817	21095
730	7829	21088
731	7840	21079
732	7850	21067
733	7860	21053
734	7871	21044
735	7881	21031
736	7892	21021
737	7903	21012
738	7914	21001
739	7924	20989
740	7935	20978
741	7945	20967
742	7957	20960
743	7970	20955
744	7998	20989
745	8023	21017
746	8040	21022
747	8050	21009
748	8061	20997
749	8071	20987
750	8084	20980
751	8097	20975
752	8108	20966
753	8120	20959
754	8137	20962
755	8149	20956
756	8162	20949
757	8174	20942
758	8184	20931
759	8196	20922
760	8206	20910
761	8215	20895
762	8225	20881
763	8235	20868
764	8246	20857
765	8257	20847
766	8267	20834
767	8282	20836
768	8295	20829
769	8305	20817
770	8314	20802
771	8329	20803
772	8341	20794
773	8351	20782
774	8362	20770
775	8379	20774
776	8390	20764
777	8399	20751
